"","motif","gene","source"
"FoxL2.h0","FoxL2.h0","FOXL2","FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)/Homer"
"FOXM1.h0","FOXM1.h0","FOXM1","FOXM1(Forkhead)/MCF7-FOXM1-ChIP-Seq(GSE72977)/Homer"
"FOXM1.e0","FOXM1.e0","FOXM1","FOXM1_transfac_M00630"
"MA1684.1","MA1684.1","FOXN1","JASPAR"
"FOXN1.e0","FOXN1.e0","FOXN1","Whn_transfac_M00332"
"M01089","M01089","FOXN2","Nakagawa2013"
"M05039","M05039","FOXN2","Yin2017"
"M05040","M05040","FOXN2","Yin2017"
"M03949","M03949","FOXN3","Nitta2015"
"M03950","M03950","FOXN3","Nitta2015"
"M03951","M03951","FOXN3","Nitta2015"
"M03952","M03952","FOXN3","Nitta2015"
"M03953","M03953","FOXN3","Nitta2015"
"M01309","M01309","FOXN3","TF_Evolution"
"MA1489.1","MA1489.1","FOXN3","JASPAR"
"FOXN3.h0","FOXN3.h0","FOXN3","FOXN3/MA1489.1/Jaspar"
"M00866","M00866","FOXO1","DREAM_contest"
"M10670","M10670","FOXO1","HOMER"
"MA0480.3","MA0480.3","FOXO1","JASPAR"
"Foxo1.h0","Foxo1.h0","FOXO1","Foxo1(Forkhead)/RAW-Foxo1-ChIP-Seq(Fan_et_al.)/Homer"
"Foxo1.h1","Foxo1.h1","FOXO1","Foxo1/MA0480.1/Jaspar"
"M03226","M03226","FOXO1","Jolma2013"
"M03227","M03227","FOXO1","Jolma2013"
"M03228","M03228","FOXO1","Jolma2013"
"M11672","M11672","FOXO1","Transfac"
"M11673","M11673","FOXO1","Transfac"
"FOXO1.e0","FOXO1.e0","FOXO1","FOXO1_transfac_M00473"
"FOXO1.e1","FOXO1.e1","FOXO1","FOXO1_transfac_M00474"
"FOXO1.e2","FOXO1.e2","FOXO1","FOXO1_jolma_DBD_M425"
"FOXO1.e3","FOXO1.e3","FOXO1","FOXO1_jolma_DBD_M426"
"FOXO1.e4","FOXO1.e4","FOXO1","FOXO1_jolma_DBD_M427"
"MA1953.2","MA1953.2","FOXO1--ELF1","JASPAR"
"MA1954.2","MA1954.2","FOXO1--ELK1","JASPAR"
"MA1955.2","MA1955.2","FOXO1--ELK3","JASPAR"
"MA1956.2","MA1956.2","FOXO1--FLI1","JASPAR"
"MA0157.4","MA0157.4","FOXO3","JASPAR"
"Foxo3.h0","Foxo3.h0","FOXO3","Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)/Homer"
"M03223","M03223","FOXO3","Jolma2013"
"M03224","M03224","FOXO3","Jolma2013"
"M03225","M03225","FOXO3","Jolma2013"
"M05017","M05017","FOXO3","Yin2017"
"M05018","M05018","FOXO3","Yin2017"
"M11660","M11660","FOXO3","Transfac"
"FOXO3.h0","FOXO3.h0","FOXO3","FOXO3/MA0157.2/Jaspar"
"FOXO3.e0","FOXO3.e0","FOXO3","FOXO3_transfac_M00477"
"FOXO3.e1","FOXO3.e1","FOXO3","FOXO3A_transfac_M01137"
"FOXO3.e2","FOXO3.e2","FOXO3","FOXO3_jaspar_MA0157.1"
"FOXO3.e3","FOXO3.e3","FOXO3","FOXO3_jolma_full_M428"
"FOXO3.e4","FOXO3.e4","FOXO3","FOXO3_jolma_full_M429"
"FOXO3.e5","FOXO3.e5","FOXO3","FOXO3_jolma_full_M430"
"M03243","M03243","FOXO4","Jolma2013"
"M03244","M03244","FOXO4","Jolma2013"
"M03245","M03245","FOXO4","Jolma2013"
"M05053","M05053","FOXO4","Yin2017"
"M05054","M05054","FOXO4","Yin2017"
"M11685","M11685","FOXO4","Transfac"
"M11686","M11686","FOXO4","Transfac"
"MA0848.1","MA0848.1","FOXO4","JASPAR"
"FOXO4.h0","FOXO4.h0","FOXO4","FOXO4/MA0848.1/Jaspar"
"FOXO4.e0","FOXO4.e0","FOXO4","FOXO4_transfac_M00472"
"FOXO4.e1","FOXO4.e1","FOXO4","FOXO4_transfac_M00476"
"FOXO4.e2","FOXO4.e2","FOXO4","FOXO4_jolma_DBD_M431"
"FOXO4.e3","FOXO4.e3","FOXO4","FOXO4_jolma_DBD_M432"
"FOXO4.e4","FOXO4.e4","FOXO4","FOXO4_jolma_DBD_M433"
"M03253","M03253","FOXO6","Jolma2013"
"M03254","M03254","FOXO6","Jolma2013"
"M03255","M03255","FOXO6","Jolma2013"
"MA0849.1","MA0849.1","FOXO6","JASPAR"
"FOXO6.h0","FOXO6.h0","FOXO6","FOXO6/MA0849.1/Jaspar"
"FOXO6.e0","FOXO6.e0","FOXO6","FOXO6_jolma_DBD_M434"
"FOXO6.e1","FOXO6.e1","FOXO6","FOXO6_jolma_DBD_M435"
"FOXO6.e2","FOXO6.e2","FOXO6","FOXO6_jolma_DBD_M436"
"M00907","M00907","FOXP1","FOXP1_2011"
"M00908","M00908","FOXP1","FOXP1_2011"
"M00909","M00909","FOXP1","FOXP1_2011"
"M00910","M00910","FOXP1","FOXP1_2011"
"M02058","M02058","FOXP1","Zoo_01"
"M05015","M05015","FOXP1","Yin2017"
"M05016","M05016","FOXP1","Yin2017"
"M10664","M10664","FOXP1","HOMER"
"MA0481.4","MA0481.4","FOXP1","JASPAR"
"FOXP1.h0","FOXP1.h0","FOXP1","FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer"
"FOXP1.h1","FOXP1.h1","FOXP1","FOXP1/MA0481.3/Jaspar"
"FOXP1.e0","FOXP1.e0","FOXP1","FOXP1_transfac_M00987"
"M06253","M06253","FOXP2","Isakova2017"
"MA0593.2","MA0593.2","FOXP2","JASPAR"
"FOXP2.h0","FOXP2.h0","FOXP2","FOXP2/MA0593.1/Jaspar"
"M09677","M09677","FOXP3","DeBoer11"
"M03216","M03216","FOXP3","Jolma2013"
"M05011","M05011","FOXP3","Yin2017"
"M05012","M05012","FOXP3","Yin2017"
"MA0850.1","MA0850.1","FOXP3","JASPAR"
"FOXP3.h0","FOXP3.h0","FOXP3","FOXP3/MA0850.1/Jaspar"
"FOXP3.e0","FOXP3.e0","FOXP3","FOXP3_transfac_M00992"
"FOXP3.e1","FOXP3.e1","FOXP3","FOXP3_jolma_DBD_M437"
"M00863","M00863","FOXP4","DREAM_contest"
"M00868","M00868","FOXP4","DREAM_contest"
"M03957","M03957","FOXP4","Nitta2015"
"M06597","M06597","FOXP4","FlyFactorSurvey"
"M06598","M06598","FOXP4","FlyFactorSurvey"
"M06599","M06599","FOXP4","FlyFactorSurvey"
"MA2117.1","MA2117.1","FOXP4","JASPAR"
"MA0040.2","MA0040.2","FOXQ1","JASPAR"
"Foxq1.h0","Foxq1.h0","FOXQ1","Foxq1/MA0040.1/Jaspar"
"M05027","M05027","FOXQ1","Yin2017"
"M05028","M05028","FOXQ1","Yin2017"
"FOXQ1.e0","FOXQ1.e0","FOXQ1","HFH1-(FOXQ1)_transfac_M00129"
"FOXQ1.e1","FOXQ1.e1","FOXQ1","Foxq1_jaspar_MA0040.1"
"M05061","M05061","FOXR2","Yin2017"
"M05062","M05062","FOXR2","Yin2017"
"M11695","M11695","FOXS1","Transfac"
"MA2118.1","MA2118.1","FOXS1","JASPAR"
"Gabpa.h0","Gabpa.h0","GABPA","PB0020.1_Gabpa_1/Jaspar"
"M03200","M03200","GABPA","Jolma2013"
"M04972","M04972","GABPA","Yin2017"
"M04973","M04973","GABPA","Yin2017"
"M06252","M06252","GABPA","Isakova2017"
"M08410","M08410","GABPA","ENCODE"
"M08411","M08411","GABPA","ENCODE"
"M08412","M08412","GABPA","ENCODE"
"M08413","M08413","GABPA","ENCODE"
"M08414","M08414","GABPA","ENCODE"
"M10658","M10658","GABPA","HOMER"
"MA0062.4","MA0062.4","GABPA","JASPAR"
"GABPA.h0","GABPA.h0","GABPA","GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)/Homer"
"GABPA.h1","GABPA.h1","GABPA","GABPA/MA0062.3/Jaspar"
"GABPA.e0","GABPA.e0","GABPA","GABPA_H1-hESC_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic"
"GABPA.e1","GABPA.e1","GABPA","GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_r1:Trawler#3#Intergenic"
"GABPA.e2","GABPA.e2","GABPA","GABPA_H1-hESC_encode-Myers_seq_hsa_r1:Trawler#1#Intergenic"
"GABPA.e3","GABPA.e3","GABPA","GABPA_K562_encode-Myers_seq_hsa_v041610.1_r1:AligCE#2#Intergenic"
"GABPA.e4","GABPA.e4","GABPA","GABP_1"
"GABPA.e5","GABPA.e5","GABPA","GABPA_1"
"GABPA.e6","GABPA.e6","GABPA","GABPA_2"
"GABPA.e7","GABPA.e7","GABPA","GABPA_3"
"GATA--SCL.h0","GATA--SCL.h0","GATA--SCL","GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer"
"Gata1.h0","Gata1.h0","GATA1","Gata1(Zf)/K562-GATA1-ChIP-Seq(GSE18829)/Homer"
"M02942","M02942","GATA1","Jolma2010"
"M02943","M02943","GATA1","Jolma2010"
"M05065","M05065","GATA1","Yin2017"
"M05066","M05066","GATA1","Yin2017"
"M08421","M08421","GATA1","ENCODE"
"M08422","M08422","GATA1","ENCODE"
"M08995","M08995","GATA1","modENCODE"
"M08996","M08996","GATA1","modENCODE"
"M10672","M10672","GATA1","HOMER"
"M11701","M11701","GATA1","Transfac"
"M11702","M11702","GATA1","Transfac"
"M11703","M11703","GATA1","Transfac"
"M11704","M11704","GATA1","Transfac"
"M11705","M11705","GATA1","Transfac"
"MA0035.5","MA0035.5","GATA1","JASPAR"
"GATA1.h0","GATA1.h0","GATA1","GATA1/MA0035.4/Jaspar"
"GATA1.e0","GATA1.e0","GATA1","GATA1_K562b_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic"
"GATA1.e2","GATA1.e2","GATA1","GATA1_2"
"GATA1.e3","GATA1.e3","GATA1","GATA1_3"
"GATA1.e4","GATA1.e4","GATA1","GATA1_4"
"GATA1.e5","GATA1.e5","GATA1","GATA1_5"
"GATA1.e6","GATA1.e6","GATA1","GATA1_6"
"MA0140.3","MA0140.3","GATA1--TAL1","JASPAR"
"GATA1--TAL1.h0","GATA1--TAL1.h0","GATA1--TAL1","GATA1::TAL1/MA0140.2/Jaspar"
"Gata2.h0","Gata2.h0","GATA2","Gata2(Zf)/K562-GATA2-ChIP-Seq(GSE18829)/Homer"
"M05083","M05083","GATA2","Yin2017"
"M05084","M05084","GATA2","Yin2017"
"M08424","M08424","GATA2","ENCODE"
"M08425","M08425","GATA2","ENCODE"
"M08426","M08426","GATA2","ENCODE"
"M08427","M08427","GATA2","ENCODE"
"M08428","M08428","GATA2","ENCODE"
"M10673","M10673","GATA2","HOMER"
"M11718","M11718","GATA2","Transfac"
"M11719","M11719","GATA2","Transfac"
"MA0036.4","MA0036.4","GATA2","JASPAR"
"GATA2.h0","GATA2.h0","GATA2","GATA2/MA0036.3/Jaspar"
"GATA2.e0","GATA2.e0","GATA2","GATA2_HUVEC_encode-Snyder_seq_hsa_r1:MDscan#3#Intergenic"
"GATA2.e1","GATA2.e1","GATA2","GATA2_HUVEC_encode-Snyder_seq_hsa_r1:MEME#2#Intergenic"
"GATA2.e2","GATA2.e2","GATA2","GATA2_K562_encode-Myers_seq_hsa_CG2-96_r1:Trawler#3#Intergenic"
"M06254","M06254","GATA3","Isakova2017"
"M10674","M10674","GATA3","HOMER"
"M10675","M10675","GATA3","HOMER"
"M10676","M10676","GATA3","HOMER"
"M10677","M10677","GATA3","HOMER"
"M10678","M10678","GATA3","HOMER"
"MA0037.5","MA0037.5","GATA3","JASPAR"
"Gata3.h0","Gata3.h0","GATA3","PB0021.1_Gata3_1/Jaspar"
"Gata3.h1","Gata3.h1","GATA3","PB0125.1_Gata3_2/Jaspar"
"M03267","M03267","GATA3","Jolma2013"
"M03268","M03268","GATA3","Jolma2013"
"M05067","M05067","GATA3","Yin2017"
"M05068","M05068","GATA3","Yin2017"
"M05069","M05069","GATA3","Yin2017"
"M05070","M05070","GATA3","Yin2017"
"M08423","M08423","GATA3","ENCODE"
"M11710","M11710","GATA3","Transfac"
"M11711","M11711","GATA3","Transfac"
"GATA3.h0","GATA3.h0","GATA3","GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"
"GATA3.h1","GATA3.h1","GATA3","GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"
"GATA3.h2","GATA3.h2","GATA3","GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"
"GATA3.h3","GATA3.h3","GATA3","GATA3/MA0037.3/Jaspar"
"GATA3.e0","GATA3.e0","GATA3","GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_r1:Trawler#3#Intergenic"
"GATA3.e1","GATA3.e1","GATA3","GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_r1:Trawler#2#Intergenic"
"GATA3.e3","GATA3.e3","GATA3","GATA3_2"
"GATA3.e4","GATA3.e4","GATA3","GATA3_3"
"GATA3.e5","GATA3.e5","GATA3","GATA3_4"
"GATA3.e6","GATA3.e6","GATA3","GATA3_5"
"M10679","M10679","GATA4","HOMER"
"Gata4.h0","Gata4.h0","GATA4","Gata4(Zf)/Heart-Gata4-ChIP-Seq(GSE35151)/Homer"
"M03270","M03270","GATA4","Jolma2013"
"M05079","M05079","GATA4","Yin2017"
"M05080","M05080","GATA4","Yin2017"
"MA0482.3","MA0482.3","GATA4","JASPAR"
"GATA4.h0","GATA4.h0","GATA4","GATA4/MA0482.2/Jaspar"
"GATA4.e0","GATA4.e0","GATA4","GATA4_1"
"GATA4.e1","GATA4.e1","GATA4","GATA4_2"
"Gata5.h0","Gata5.h0","GATA5","PB0022.1_Gata5_1/Jaspar"
"Gata5.h1","Gata5.h1","GATA5","PB0126.1_Gata5_2/Jaspar"
"M03269","M03269","GATA5","Jolma2013"
"M05071","M05071","GATA5","Yin2017"
"M05072","M05072","GATA5","Yin2017"
"M05073","M05073","GATA5","Yin2017"
"M05074","M05074","GATA5","Yin2017"
"M05075","M05075","GATA5","Yin2017"
"M05076","M05076","GATA5","Yin2017"
"M05077","M05077","GATA5","Yin2017"
"M05078","M05078","GATA5","Yin2017"
"MA0766.3","MA0766.3","GATA5","JASPAR"
"GATA5.h0","GATA5.h0","GATA5","GATA5/MA0766.2/Jaspar"
"GATA5.e0","GATA5.e0","GATA5","GATA5_1"
"GATA5.e1","GATA5.e1","GATA5","GATA5_2"
"M00220","M00220","GATA6","Badis09"
"Gata6.h0","Gata6.h0","GATA6","Gata6(Zf)/HUG1N-GATA6-ChIP-Seq(GSE51936)/Homer"
"Gata6.h1","Gata6.h1","GATA6","PB0023.1_Gata6_1/Jaspar"
"Gata6.h2","Gata6.h2","GATA6","PB0127.1_Gata6_2/Jaspar"
"M05081","M05081","GATA6","Yin2017"
"M05082","M05082","GATA6","Yin2017"
"M11715","M11715","GATA6","Transfac"
"MA1104.3","MA1104.3","GATA6","JASPAR"
"GATA6.h0","GATA6.h0","GATA6","GATA6/MA1104.2/Jaspar"
"GATA6.e0","GATA6.e0","GATA6","GATA6_1"
"GATA6.e1","GATA6.e1","GATA6","GATA6_2"
"M06104","M06104","GATAD2A","CodeBook"
"M08593","M08593","GATAD2A","FactorBook"
"M08592","M08592","GATAD2B","FactorBook"
"Gbx1.h0","Gbx1.h0","GBX1","PH0033.1_Gbx1/Jaspar"
"M03397","M03397","GBX1","Jolma2013"
"M03490","M03490","GBX1","Jolma2013"
"MA0889.2","MA0889.2","GBX1","JASPAR"
"GBX1.h0","GBX1.h0","GBX1","GBX1/MA0889.1/Jaspar"
"GBX1.e0","GBX1.e0","GBX1","Gbx1_bulyk_cell08-2883.2"
"GBX1.e1","GBX1.e1","GBX1","GBX1_jolma_DBD_M501"
"GBX1.e2","GBX1.e2","GBX1","Gbx1_jolma_DBD_M509"
"Gbx2.h0","Gbx2.h0","GBX2","PH0034.1_Gbx2/Jaspar"
"M03405","M03405","GBX2","Jolma2013"
"M03406","M03406","GBX2","Jolma2013"
"M03407","M03407","GBX2","Jolma2013"
"M05469","M05469","GBX2","Yin2017"
"M05470","M05470","GBX2","Yin2017"
"M05471","M05471","GBX2","Yin2017"
"M05472","M05472","GBX2","Yin2017"
"M05473","M05473","GBX2","Yin2017"
"M05474","M05474","GBX2","Yin2017"
"M03472","M03472","GBX2","Jolma2013"
"MA0890.2","MA0890.2","GBX2","JASPAR"
"GBX2.h0","GBX2.h0","GBX2","GBX2/MA0890.1/Jaspar"
"GBX2.e0","GBX2.e0","GBX2","Gbx2_bulyk_cell08-3110.1"
"GBX2.e1","GBX2.e1","GBX2","GBX2_jolma_DBD_M502"
"GBX2.e2","GBX2.e2","GBX2","GBX2_jolma_DBD_M503"
"GBX2.e3","GBX2.e3","GBX2","GBX2_jolma_full_M504"
"GBX2.e4","GBX2.e4","GBX2","Gbx2_jolma_DBD_M510"
"Gcm1.h0","Gcm1.h0","GCM1","PB0024.1_Gcm1_1/Jaspar"
"Gcm1.h1","Gcm1.h1","GCM1","PB0128.1_Gcm1_2/Jaspar"
"M00795","M00795","GCM1","CodeBook"
"M03272","M03272","GCM1","Jolma2013"
"M03273","M03273","GCM1","Jolma2013"
"M03274","M03274","GCM1","Jolma2013"
"M05087","M05087","GCM1","Yin2017"
"M05088","M05088","GCM1","Yin2017"
"M06255","M06255","GCM1","Isakova2017"
"MA0646.2","MA0646.2","GCM1","JASPAR"
"GCM1.h0","GCM1.h0","GCM1","GCM1/MA0646.1/Jaspar"
"GCM1.e0","GCM1.e0","GCM1","Gcm1_bulyk_sc09-primary"
"GCM1.e1","GCM1.e1","GCM1","GCM1_jolma_DBD_M131"
"GCM1.e2","GCM1.e2","GCM1","GCM1_jolma_full_M132"
"GCM1.e3","GCM1.e3","GCM1","GCM1_jolma_full_M133"
"M02104","M02104","GCM2","Zoo_01"
"M02105","M02105","GCM2","Zoo_01"
"M02106","M02106","GCM2","Zoo_01"
"M02107","M02107","GCM2","Zoo_01"
"M02108","M02108","GCM2","Zoo_01"
"M02109","M02109","GCM2","Zoo_01"
"M03968","M03968","GCM2","Nitta2015"
"M03969","M03969","GCM2","Nitta2015"
"M03970","M03970","GCM2","Nitta2015"
"M03971","M03971","GCM2","Nitta2015"
"M03972","M03972","GCM2","Nitta2015"
"M11728","M11728","GCM2","Transfac"
"M03271","M03271","GCM2","Jolma2013"
"M05085","M05085","GCM2","Yin2017"
"M05086","M05086","GCM2","Yin2017"
"MA0767.2","MA0767.2","GCM2","JASPAR"
"GCM2.h0","GCM2.h0","GCM2","GCM2/MA0767.1/Jaspar"
"GCM2.e0","GCM2.e0","GCM2","GCM2_jolma_DBD_M134"
"M00292","M00292","GFI1","Barrera2016"
"M04711","M04711","GFI1","Yin2017"
"M04712","M04712","GFI1","Yin2017"
"M11358","M11358","GFI1","Transfac"
"MA0038.3","MA0038.3","GFI1","JASPAR"
"GFI1.h0","GFI1.h0","GFI1","GFI1/MA0038.2/Jaspar"
"GFI1.e0","GFI1.e0","GFI1","Gfi-1_transfac_M00250"
"GFI1.e1","GFI1.e1","GFI1","Gfi1_transfac_M01067"
"GFI1.e2","GFI1.e2","GFI1","Gfi_jaspar_MA0038.1"
"M10637","M10637","GFI1B","HOMER"
"Gfi1b.h0","Gfi1b.h0","GFI1B","Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer"
"Gfi1b.h1","Gfi1b.h1","GFI1B","Gfi1b/MA0483.1/Jaspar"
"MA0483.2","MA0483.2","GFI1B","JASPAR"
"M00294","M00294","GFI1B","Barrera2016"
"M00295","M00295","GFI1B","Barrera2016"
"M04727","M04727","GFI1B","Yin2017"
"M04728","M04728","GFI1B","Yin2017"
"GFI1B.e0","GFI1B.e0","GFI1B","Gfi1b_transfac_M01058"
"GFY.h0","GFY.h0","GFY","GFY(?)/Promoter/Homer"
"M01105","M01105","GLI1","Peterson2012"
"MA1990.2","MA1990.2","GLI1","JASPAR"
"M02725","M02725","GLI1","Hallikas2006"
"M01106","M01106","GLI2","Peterson2012"
"MA0734.4","MA0734.4","GLI2","JASPAR"
"Gli2.h0","Gli2.h0","GLI2","Gli2(Zf)/GM2-Gli2-ChIP-Chip(GSE112702)/Homer"
"M02723","M02723","GLI2","Hallikas2006"
"M02936","M02936","GLI2","Jolma2010"
"M03079","M03079","GLI2","Jolma2013"
"M03080","M03080","GLI2","Jolma2013"
"M04606","M04606","GLI2","Yin2017"
"M04607","M04607","GLI2","Yin2017"
"GLI2.h0","GLI2.h0","GLI2","GLI2/MA0734.2/Jaspar"
"GLI2.e0","GLI2.e0","GLI2","GLI2_jolma_DBD_M10"
"GLI2.e1","GLI2.e1","GLI2","GLI2_jolma_DBD_M11"
"M01104","M01104","GLI3","Peterson2012"
"M08606","M08606","GLI3","hmCHIP"
"M10635","M10635","GLI3","HOMER"
"M02724","M02724","GLI3","Hallikas2006"
"M04620","M04620","GLI3","Yin2017"
"M04621","M04621","GLI3","Yin2017"
"MA1491.3","MA1491.3","GLI3","JASPAR"
"GLI3.h0","GLI3.h0","GLI3","GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)/Homer"
"GLI3.h1","GLI3.h1","GLI3","GLI3/MA1491.1/Jaspar"
"M06096","M06096","GLI4","CodeBook"
"M09529","M09529","GLI4","Schmitges2016"
"M03115","M03115","GLIS1","Jolma2013"
"M04768","M04768","GLIS1","Yin2017"
"M04769","M04769","GLIS1","Yin2017"
"M09480","M09480","GLIS1","Schmitges2016"
"MA0735.2","MA0735.2","GLIS1","JASPAR"
"GLIS1.h0","GLIS1.h0","GLIS1","GLIS1/MA0735.1/Jaspar"
"GLIS1.e0","GLIS1.e0","GLIS1","GLIS1_jolma_DBD_M12"
"M00184","M00184","GLIS2","Badis09"
"Glis2.h0","Glis2.h0","GLIS2","PB0025.1_Glis2_1/Jaspar"
"M03091","M03091","GLIS2","Jolma2013"
"M04653","M04653","GLIS2","Yin2017"
"M04654","M04654","GLIS2","Yin2017"
"MA0736.1","MA0736.1","GLIS2","JASPAR"
"GLIS2.h0","GLIS2.h0","GLIS2","GLIS2/MA0736.1/Jaspar"
"GLIS2.e0","GLIS2.e0","GLIS2","Glis2_bulyk_sc09-primary"
"GLIS2.e1","GLIS2.e1","GLIS2","GLIS2_jolma_DBD_M13"
"M03084","M03084","GLIS3","Jolma2013"
"MA0737.1","MA0737.1","GLIS3","JASPAR"
"GLIS3.h0","GLIS3.h0","GLIS3","GLIS3(Zf)/Thyroid-Glis3.GFP-ChIP-Seq(GSE103297)/Homer"
"GLIS3.h1","GLIS3.h1","GLIS3","GLIS3/MA0737.1/Jaspar"
"GLIS3.e0","GLIS3.e0","GLIS3","GLIS3_jolma_DBD_M14"
"MA0615.2","MA0615.2","GMEB1","JASPAR"
"Gmeb1.h0","Gmeb1.h0","GMEB1","Gmeb1/MA0615.1/Jaspar"
"Gmeb1.h1","Gmeb1.h1","GMEB1","PB0027.1_Gmeb1_1/Jaspar"
"Gmeb1.h2","Gmeb1.h2","GMEB1","PB0131.1_Gmeb1_2/Jaspar"
"M05941","M05941","GMEB1","Yin2017"
"M05942","M05942","GMEB1","Yin2017"
"GMEB1.e0","GMEB1.e0","GMEB1","Gmeb1_bulyk_sc09-primary"
"M03675","M03675","GMEB2","Jolma2013"
"M03676","M03676","GMEB2","Jolma2013"
"M03677","M03677","GMEB2","Jolma2013"
"M03678","M03678","GMEB2","Jolma2013"
"M05939","M05939","GMEB2","Yin2017"
"M05940","M05940","GMEB2","Yin2017"
"MA0862.1","MA0862.1","GMEB2","JASPAR"
"GMEB2.h0","GMEB2.h0","GMEB2","GMEB2/MA0862.1/Jaspar"
"GMEB2.e0","GMEB2.e0","GMEB2","GMEB2_jolma_DBD_M252"
"GMEB2.e1","GMEB2.e1","GMEB2","GMEB2_jolma_DBD_M253"
"GMEB2.e2","GMEB2.e2","GMEB2","GMEB2_jolma_DBD_M254"
"GMEB2.e3","GMEB2.e3","GMEB2","GMEB2_jolma_DBD_M738"
"M03275","M03275","GRHL1","Jolma2013"
"M03276","M03276","GRHL1","Jolma2013"
"M03277","M03277","GRHL1","Jolma2013"
"M05091","M05091","GRHL1","Yin2017"
"M05092","M05092","GRHL1","Yin2017"
"MA0647.2","MA0647.2","GRHL1","JASPAR"
"GRHL1.h0","GRHL1.h0","GRHL1","GRHL1/MA0647.1/Jaspar"
"GRHL1.e0","GRHL1.e0","GRHL1","GRHL1_jolma_DBD_M59"
"GRHL1.e1","GRHL1.e1","GRHL1","GRHL1_jolma_DBD_M60"
"GRHL1.e2","GRHL1.e2","GRHL1","GRHL1_jolma_full_M61"
"M10681","M10681","GRHL2","HOMER"
"MA1105.3","MA1105.3","GRHL2","JASPAR"
"GRHL2.h0","GRHL2.h0","GRHL2","GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)/Homer"
"GRHL2.h1","GRHL2.h1","GRHL2","GRHL2/MA1105.2/Jaspar"
"Gsc.h0","Gsc.h0","GSC","PH0035.1_Gsc/Jaspar"
"M03350","M03350","GSC","Jolma2013"
"M05338","M05338","GSC","Yin2017"
"M05339","M05339","GSC","Yin2017"
"M05340","M05340","GSC","Yin2017"
"M05341","M05341","GSC","Yin2017"
"MA0648.2","MA0648.2","GSC","JASPAR"
"GSC.h0","GSC.h0","GSC","GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)/Homer"
"GSC.h1","GSC.h1","GSC","GSC/MA0648.1/Jaspar"
"GSC.e0","GSC.e0","GSC","Gsc_bulyk_cell08-2327.3"
"GSC.e1","GSC.e1","GSC","GSC_jolma_full_M506"
"M00495","M00495","GSC2","Berger08"
"M00617","M00617","GSC2","BusserDevelopment2012"
"M00729","M00729","GSC2","CEPD"
"M00734","M00734","GSC2","CEPD"
"M01323","M01323","GSC2","TF_Evolution"
"M02226","M02226","GSC2","Zoo_01"
"M02277","M02277","GSC2","Zoo_01"
"M04012","M04012","GSC2","Nitta2015"
"M04021","M04021","GSC2","Nitta2015"
"M04022","M04022","GSC2","Nitta2015"
"M04023","M04023","GSC2","Nitta2015"
"M04024","M04024","GSC2","Nitta2015"
"M04025","M04025","GSC2","Nitta2015"
"M04046","M04046","GSC2","Nitta2015"
"M04047","M04047","GSC2","Nitta2015"
"M04048","M04048","GSC2","Nitta2015"
"M06260","M06260","GSC2","Isakova2017"
"M06678","M06678","GSC2","FlyFactorSurvey"
"M06679","M06679","GSC2","FlyFactorSurvey"
"M06693","M06693","GSC2","FlyFactorSurvey"
"M06694","M06694","GSC2","FlyFactorSurvey"
"M06715","M06715","GSC2","FlyFactorSurvey"
"M06716","M06716","GSC2","FlyFactorSurvey"
"M10700","M10700","GSC2","HOMER"
"M10707","M10707","GSC2","HOMER"
"M10804","M10804","GSC2","iDMMPMM"
"M03284","M03284","GSC2","Jolma2013"
"MA0891.2","MA0891.2","GSC2","JASPAR"
"GSC2.h0","GSC2.h0","GSC2","GSC2/MA0891.1/Jaspar"
"GSC2.e0","GSC2.e0","GSC2","GSC2_jolma_DBD_M505"
"Gsx2.h0","Gsx2.h0","GSX2","PH0036.1_Gsx2/Jaspar"
"M05533","M05533","GSX2","Yin2017"
"M05534","M05534","GSX2","Yin2017"
"MA0893.3","MA0893.3","GSX2","JASPAR"
"GSX2.h0","GSX2.h0","GSX2","GSX2/MA0893.2/Jaspar"
"GSX2.e0","GSX2.e0","GSX2","Gsh2_bulyk_cell08-3990.2"
"GTF2A1.e0","GTF2A1.e0","GTF2A1","TFIIA_transfac_M00707"
"GTF2I.e0","GTF2I.e0","GTF2I","TFII-I_transfac_M00706"
